"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"1Âµ","desc","C6,C5,","0603","libref","2","2","","",
"100n","desc","C7,C4,C3,C2,C1,","0603","libref","2","5","","",
"LED","desc","D1,","0603-LED","libref","2","1","","",
"STM32F042K6T7","desc","IC1,","LQFP-32","libref","32","1","","",
"MCP1700","desc","IC2,","SOT-23","libref","3","1","","",
"MIC2004-0_5YM5","desc","IC3,","SOT-23-5","libref","5","1","","",
"PROG","desc","J3,","FTSH-105-01-L-DV-K","libref","10","1","","",
"10k","desc","R3,R2,R1,","0603","libref","2","3","","",
"Through Hole Items ",
"USB_C_Receptacle_USB2.0","desc","J2,","USB-C_16Pin","libref","18","1","","",
"SWD_TC","desc","P1,","TC2030-NL","libref","9","1","","",
